||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
2025|İzmir(Aliağa/Aliağa Bel./Aşağışakran Mah.)-192999|267.0|
|İzmir(Aliağa/Aliağa Bel./Atatürk Mah.)-41320|9104.0|
|İzmir(Aliağa/Aliağa Bel./B.Hayrettin Paşa Mah.)-41328|1597.0|
|İzmir(Aliağa/Aliağa Bel./Bahçedere Mah.)-193001|11997.0|
|İzmir(Aliağa/Aliağa Bel./Bozköy Mah.)-193003|539.0|
|İzmir(Aliağa/Aliağa Bel./Çakmaklı Mah.)-193005|884.0|
|İzmir(Aliağa/Aliağa Bel./Çaltılıdere Mah.)-193021|742.0|
|İzmir(Aliağa/Aliağa Bel./Çıtak Mah.)-193029|487.0|
|İzmir(Aliağa/Aliağa Bel./Çoraklar Mah.)-193035|123.0|
|İzmir(Aliağa/Aliağa Bel./Fatih Mah.)-41329|2490.0|
|İzmir(Aliağa/Aliağa Bel./Güzelhisar Mah.)-193049|694.0|
|İzmir(Aliağa/Aliağa Bel./Hacıömerli Mah.)-193057|910.0|
|İzmir(Aliağa/Aliağa Bel./Horozgediği Mah.)-193067|283.0|
|İzmir(Aliağa/Aliağa Bel./Kalabak Mah.)-193071|453.0|
|İzmir(Aliağa/Aliağa Bel./Kapukaya Mah.)-193079|175.0|
|İzmir(Aliağa/Aliağa Bel./Karaköy Mah.)-193083|193.0|
|İzmir(Aliağa/Aliağa Bel./Karakuzu Mah.)-193091|515.0|
|İzmir(Aliağa/Aliağa Bel./Kazım Dirik Mah.)-41321|8118.0|
|İzmir(Aliağa/Aliağa Bel./Kültür Mah.)-41323|8592.0|
|İzmir(Aliağa/Aliağa Bel./Kurtuluş Mah.)-41322|8427.0|
|İzmir(Aliağa/Aliağa Bel./Mimar Sinan Mah.)-41330|1301.0|
|İzmir(Aliağa/Aliağa Bel./Örnekkent Mah.)-317842|7539.0|
|İzmir(Aliağa/Aliağa Bel./Şakran Hasbi Efendi Mah.)-192907|3277.0|
|İzmir(Aliağa/Aliağa Bel./Şakran Sayfiye Mah.)-753590|3617.0|
|İzmir(Aliağa/Aliağa Bel./Samurlu Mah.)-193097|422.0|
|İzmir(Aliağa/Aliağa Bel./Şehitkemal Mah.)-193109|781.0|
|İzmir(Aliağa/Aliağa Bel./Siteler Mah.)-41324|14104.0|
|İzmir(Aliağa/Aliağa Bel./Uzunhasanlar Mah.)-193117|265.0|
|İzmir(Aliağa/Aliağa Bel./Yalı Mah.)-41325|3685.0|
|İzmir(Aliağa/Aliağa Bel./Yeni Mah.)-41326|18474.0|
|İzmir(Aliağa/Aliağa Bel./Yukarı Şehitkemal Mah.)-41327|687.0|
|İzmir(Aliağa/Aliağa Bel./Yüksekköy Mah.)-193121|150.0|
|İzmir(Balçova/Balçova Bel./Bahçelerarası Mah.)-40962|597.0|
|İzmir(Balçova/Balçova Bel./Çetin Emeç Mah.)-40963|10953.0|
|İzmir(Balçova/Balçova Bel./Eğitim Mah.)-40964|13633.0|
|İzmir(Balçova/Balçova Bel./Fevzi Çakmak Mah.)-40965|10936.0|
|İzmir(Balçova/Balçova Bel./İnciraltı Mah.)-40966|3199.0|
|İzmir(Balçova/Balçova Bel./Korutürk Mah.)-40967|12300.0|
|İzmir(Balçova/Balçova Bel./Onur Mah.)-40968|15693.0|
|İzmir(Balçova/Balçova Bel./Teleferik Mah.)-40969|8432.0|
|İzmir(Bayındır/Bayındır Bel./Alankıyı Mah.)-193151|389.0|
|İzmir(Bayındır/Bayındır Bel./Alanköy Mah.)-193155|146.0|
|İzmir(Bayındır/Bayındır Bel./Arıkbaşı Mah.)-193259|818.0|
|İzmir(Bayındır/Bayındır Bel./Atatürk Mah.)-41347|595.0|
|İzmir(Bayındır/Bayındır Bel./Balcılar Mah.)-193157|310.0|
|İzmir(Bayındır/Bayındır Bel./Bıyıklar Mah.)-41333|572.0|
|İzmir(Bayındır/Bayındır Bel./Buruncuk Mah.)-193161|476.0|
|İzmir(Bayındır/Bayındır Bel./Camii Mah.)-41334|581.0|
|İzmir(Bayındır/Bayındır Bel./Çamlıbel Mah.)-193165|292.0|
|İzmir(Bayındır/Bayındır Bel./Çenikler Mah.)-193167|57.0|
|İzmir(Bayındır/Bayındır Bel./Çiftçigediği Mah.)-193263|213.0|
|İzmir(Bayındır/Bayındır Bel./Çınardibi Mah.)-193285|731.0|
|İzmir(Bayındır/Bayındır Bel./Çınar Mah.)-41335|114.0|
|İzmir(Bayındır/Bayındır Bel./Çırpı Cami Mah.)-41353|1045.0|
|İzmir(Bayındır/Bayındır Bel./Cumhuriyet Mah.)-41348|747.0|
|İzmir(Bayındır/Bayındır Bel./Demircilik Mah.)-41336|857.0|
|İzmir(Bayındır/Bayındır Bel./Dereköy Mah.)-193173|230.0|
|İzmir(Bayındır/Bayındır Bel./Dernekli Mah.)-193267|149.0|
|İzmir(Bayındır/Bayındır Bel./Elifli Mah.)-193177|294.0|
|İzmir(Bayındır/Bayındır Bel./Ergenli Mah.)-193181|488.0|
|İzmir(Bayındır/Bayındır Bel./Fatih Mah.)-41337|3405.0|
|İzmir(Bayındır/Bayındır Bel./Fırınlı Mah.)-193183|1057.0|
|İzmir(Bayındır/Bayındır Bel./Gaziler Mah.)-193189|56.0|
|İzmir(Bayındır/Bayındır Bel./Hacı Beşir Mah.)-41338|729.0|
|İzmir(Bayındır/Bayındır Bel./Hacı İbrahim Mah.)-41339|1351.0|
|İzmir(Bayındır/Bayındır Bel./Hasköy Mah.)-41357|772.0|
|İzmir(Bayındır/Bayındır Bel./Hatay Mah.)-41340|616.0|
|İzmir(Bayındır/Bayındır Bel./Havuzbaşı Mah.)-193271|394.0|
|İzmir(Bayındır/Bayındır Bel./Hisarlık Mah.)-193195|286.0|
|İzmir(Bayındır/Bayındır Bel./İbrahimçavuş Mah.)-41354|618.0|
|İzmir(Bayındır/Bayındır Bel./Kabaağaç Mah.)-193199|74.0|
|İzmir(Bayındır/Bayındır Bel./Karahalilli Mah.)-193203|440.0|
|İzmir(Bayındır/Bayındır Bel./Karahayıt Mah.)-193207|32.0|
|İzmir(Bayındır/Bayındır Bel./Karapınar Mah.)-193209|63.0|
|İzmir(Bayındır/Bayındır Bel./Karaveliler Mah.)-41349|735.0|
|İzmir(Bayındır/Bayındır Bel./Kızılcaağaç Mah.)-193213|218.0|
|İzmir(Bayındır/Bayındır Bel./Kızılcaova Mah.)-193277|935.0|
|İzmir(Bayındır/Bayındır Bel./Kızılkeçili Mah.)-193215|518.0|
|İzmir(Bayındır/Bayındır Bel./Kızıloba Mah.)-193217|641.0|
|İzmir(Bayındır/Bayındır Bel./Kurt Mah.)-41341|732.0|
|İzmir(Bayındır/Bayındır Bel./Lütuflar Mah.)-193225|422.0|
|İzmir(Bayındır/Bayındır Bel./Mektep Mah.)-41355|931.0|
|İzmir(Bayındır/Bayındır Bel./Mithatpaşa Mah.)-41342|739.0|
|İzmir(Bayındır/Bayındır Bel./Necati Uza Mah.)-41356|1350.0|
|İzmir(Bayındır/Bayındır Bel./Orta Mah.)-41343|226.0|
|İzmir(Bayındır/Bayındır Bel./Osmanlar Mah.)-193287|279.0|
|İzmir(Bayındır/Bayındır Bel./Pınarlı Mah.)-193229|1244.0|
|İzmir(Bayındır/Bayındır Bel./Sadıkpaşa Mah.)-41344|5033.0|
|İzmir(Bayındır/Bayındır Bel./Sarıyurt Mah.)-193233|346.0|
|İzmir(Bayındır/Bayındır Bel./Söğütören Mah.)-193237|725.0|
|İzmir(Bayındır/Bayındır Bel./Tokatbaşı Mah.)-193239|525.0|
|İzmir(Bayındır/Bayındır Bel./Turan Mah.)-193243|388.0|
|İzmir(Bayındır/Bayındır Bel./Yakacık Mah.)-193249|567.0|
