||Sütunlar|
Satırlar||Yıllık Nüfus Artış Hızı (Binde)|
||Ölçüm bazında|
|||
|||
2025|İzmir(Aliağa)-1128|19.96|
|İzmir(Balçova)-2006|-11.42|
|İzmir(Bayındır)-1178|-2.07|
|İzmir(Bayraklı)-2056|-11.33|
|İzmir(Bergama)-1181|1.88|
|İzmir(Beydağ)-1776|-4.61|
|İzmir(Bornova)-1203|8.3|
|İzmir(Buca)-1780|-4.31|
|İzmir(Çeşme)-1251|20.91|
|İzmir(Çiğli)-2007|3.39|
|İzmir(Dikili)-1280|10.04|
|İzmir(Foça)-1334|27.5|
|İzmir(Gaziemir)-2009|2.12|
|İzmir(Güzelbahçe)-2018|24.98|
|İzmir(Karabağlar)-2057|-11.66|
|İzmir(Karaburun)-1432|18.53|
|İzmir(Karşıyaka)-1448|-5.74|
|İzmir(Kemalpaşa)-1461|20.27|
|İzmir(Kınık)-1467|-8.88|
|İzmir(Kiraz)-1477|-1.41|
|İzmir(Konak)-1819|-15.61|
|İzmir(Menderes)-1826|12.48|
|İzmir(Menemen)-1521|28.06|
|İzmir(Narlıdere)-2013|-6.7|
|İzmir(Ödemiş)-1563|-2.97|
|İzmir(Seferihisar)-1611|44.91|
|İzmir(Selçuk)-1612|-2.85|
|İzmir(Tire)-1677|-3.27|
|İzmir(Torbalı)-1682|24.34|
|İzmir(Urla)-1703|29.84|
|||
