TARIH;ILCE;NUFUS_TOPLAM;YILLIK_NUFUS_ARTIS_HIZI
2023;Aliağa;106168;12,70
2023;Balçova;77831;-36,46
2023;Bayındır;40618;13,51
2023;Bayraklı;300949;8,11
2023;Bergama;107133;12,96
2023;Beydağ;12094;5,31
2023;Bornova;447553;-15,34
2023;Buca;523487;2,07
2023;Çeşme;50028;22,31
2023;Çiğli;215172;5,16
2023;Dikili;48379;21,29
2023;Foça;36000;29,71
2023;Gaziemir;137768;0,10
2023;Güzelbahçe;38044;7,68
2023;Karabağlar;476500;-5,94
2023;Karaburun;13379;92,25
2023;Karşıyaka;341857;-12,81
2023;Kemalpaşa;117956;31,92
2023;Kınık;29205;17,65
2023;Kiraz;43572;1,42
2023;Konak;327300;-15,09
2023;Menderes;109356;29,54
2023;Menemen;207748;33,50
2023;Narlıdere;62148;-12,39
2023;Ödemiş;132650;-0,68
2023;Seferihisar;58570;63,02
2023;Selçuk;38467;8,25
2023;Tire;87935;5,39
2023;Torbalı;214059;29,48
2023;Urla;77599;37,59
2022;ALİAĞA;104828;14,06
2022;BAYINDIR;40073;0,60
2022;BERGAMA;105754;7,35
2022;BORNOVA;454470;3,53
2022;ÇEŞME;48924;15,59
2022;DİKİLİ;47360;16,46
2022;FOÇA;34946;38,95
2022;KARABURUN;12200;22,63
2022;KARŞIYAKA;346264;-2,19
2022;KEMALPAŞA;114250;19,45
2022;KINIK;28694;6,33
2022;KİRAZ;43510;-3,76
2022;MENEMEN;200904;38,95
2022;ÖDEMİŞ;132740;-0,22
2022;SEFERİHİSAR;54993;46,26
2022;SELÇUK;38151;12,18
2022;TİRE;87462;8,08
2022;TORBALI;207840;31,10
2022;URLA;74736;27,06
2022;BEYDAĞ;12030;-13,79
2022;BUCA;522404;8,54
2022;KONAK;332277;-12,76
2022;MENDERES;106173;19,27
2022;BALÇOVA;80721;2,58
2022;ÇİĞLİ;214065;19,41
2022;GAZİEMİR;137754;-0,74
2022;NARLIDERE;62923;-8,15
2022;GÜZELBAHÇE;37753;4,81
2022;BAYRAKLI;298519;5,64
2022;KARABAĞLAR;479338;1,15
