ILCE;KAPINO;ENLEM;ACIKLAMA;ILCEID;MAHALLE;MAHALLEID;ADI;BOYLAM;YOL
ÇEŞME;;38.359739740429;3509-024-01;1001;ÜNİVERSİTE;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;26.30963585461;4261/1 Sk.
BAYRAKLI;;38.475945216893;3530-018-08;11;OSMANGAZİ;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.185345692106;592/15 Sk.
MENEMEN;;38.628269642504;3522-050-01;17;MUSTAFA KEMAL ATATÜRK;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;26.926994996726;GAZİLER Cd.
MENEMEN;;38.613661641089;3522-010-01;17;AYVACIK;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.185946271299;AYVACIK KümeEvleri
KINIK;;39.044441364998;3518-020-01;996;KALEMKÖY;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.501204154956;29 EKİM Cd.
BAYRAKLI;;38.471997435581;3530-010-01;11;75. YIL;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.154296601551;1609/12 Sk.
BAYRAKLI;;38.46142985901;3530-004-01;11;BAYRAKLI;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.168662459436;1898/2 Sk.
BAYRAKLI;;38.46522700509;3530-013-01;11;MANAVKUYU;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.194765581365;DUMLUPINAR Cd.
ÇİĞLİ;;38.494252973057;3510-023-01;16;SASALI MERKEZ;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;26.946667796092;39 Sk.
MENEMEN;;38.619454140725;3522-022-01;17;GÖKTEPE;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.152504644504;2636 Sk.
KINIK;;39.016924849555;3518-011-01;996;ÇANKÖY;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.435947710772;SERİN KUYU KümeEvleri
MENEMEN;;38.649339884481;3522-030-01;17;GÖRECE;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.164954005329;910 Sk.
MENDERES;;38.253342172883;3521-006-01;13;BARBAROS;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.122861637517;321 Sk.
KINIK;;39.101779432817;3518-014-01;996;DÜNDARLI;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.30441267072;YAYAKENT Cd.
MENDERES;;38.249382283723;3521-003-01;13;ALTINTEPE;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.140875269327;9504 Sk.
MENDERES;;38.136594626074;3521-013-01;13;ÇİLEME;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.194937789239;KARAKUYU YOLU Cd.
MENEMEN;;38.700592487468;3522-033-01;17;HATUNDERE;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.043789744744;6107 Sk.
ÇEŞME;;38.318896910846;3509-018-01;1001;MUSALLA;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;26.308273376476;1049 Sk.
MENEMEN;;38.656323431745;3522-036-01;17;İĞNEDERE;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.159446104347;İĞNEDERE KümeEvleri
MENEMEN;;38.637053142491;3522-052-01;17;SÜLEYMANLI;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.178955088285;920 Sk.
BAYINDIR;;38.191912386161;3504-035-01;7;CUMHURİYET;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.552198094748;KAZIM DİRİK Cd.
BAYINDIR;;38.24506889888;3504-002-01;7;ALANKÖY;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.779270012113;TERS DERE Sk.
MENDERES;;38.052700154702;3521-041-01;13;ORTA;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.052288047645;1150/1 Sk.
KINIK;;39.032391422406;3518-036-01;996;YAYLAKÖY;;1 NO LU AFET VE ACİL DURUM TOPLANMA ALANI;27.513562393481;UYGAR Sk.
