name,ilce_adi,LST_C,NDVI_L8,NDBI_L8
1.Kadriye Mahallesi,Konak,36.06413791904058,0.0722136743966249,0.0275682047646309
100. Yıl Mahallesi,Bayraklı,39.39667974587718,0.1125914533419754,0.0131957870286356
14 Mayıs Mahallesi,Selçuk,30.88212436513795,0.2255200017802748,-0.0933418908364781
16 Eylül Mahallesi,Çeşme,32.78243250387866,0.1546319348869888,-0.0084854587828506
19 Mayıs Mahallesi,Torbalı,36.392095597637976,0.16327047876327566,-0.0336333515394122
2. İnönü Mahallesi,Narlıdere,26.407939287443533,0.2390838056672903,-0.1314809219842437
2.Kadriye Mahallesi,Konak,37.75305654383468,0.1288156923203662,-0.0049618597868416
26 Ağustos Mahallesi,Konak,35.706408956219626,0.0685799694175934,0.0313718884669775
29 Ekim Mahallesi,Menemen,34.28363526502253,0.1983471136761378,-0.04706024033616345
30 Ağustos Mahallesi,Menemen,36.50143000598111,0.113015919075739,-0.0127437005509104
4 Eylül Mahallesi,Tire,37.20715985133972,0.1221566678818142,0.0018894353610524
75. Yıl Mahallesi,Bayraklı,36.59466544329853,0.1082497932455301,-0.0071062604833614
75.Yıl Cumhuriyet Mahallesi,Menemen,33.95278231100064,0.1781106257057625,-0.0425158979125519
8 Eylül Mahallesi,Kemalpaşa,36.80993224878424,0.1911317525497786,-0.0410390565526167
85. Yıl Cumhuriyet Mahallesi,Kemalpaşa,35.570910540782165,0.2164231663820105,-0.0764095524149555
85.Yıl Cumhuriyet Mahallesi,Menemen,33.29716321170687,0.1739923525496103,-0.0384965550868258
9 Eylül Mahallesi,Menemen,36.94592057792709,0.1514223375994881,-0.0347121170906301
Abdi İpekçi Mahallesi,Karabağlar,37.29222787986854,0.084727493593556,0.0324793098418261
Acarlar Mahallesi,Selçuk,30.82933583081528,0.2266330142162134,-0.0931331432952418
Adaküre Mahallesi,Beydağ,27.723134265699144,0.2570203581851821,-0.0892622487336116
Adalet Mahallesi,Bayraklı,35.55010671496995,0.0945657959315883,-0.0017242670018501
Adatepe Mahallesi,Buca,31.16965623166641,0.2040864079753324,-0.0670899502069056
Adnan Menderes Mahallesi,Tire,37.49477782201677,0.2069227460382665,-0.0385566494398133
