name,ilce_adi,own_assembly_m2,own_assembly_count,neighbor_assembly_m2,neighbor_assembly_count
1.Kadriye Mahallesi,Konak,0.0,0.0,4.02,1.0
100. Yıl Mahallesi,Bayraklı,0.0,0.0,0.0,0.0
14 Mayıs Mahallesi,Selçuk,15.8,4.0,0.0,0.0
16 Eylül Mahallesi,Çeşme,9.15,2.0,0.0,0.0
19 Mayıs Mahallesi,Torbalı,30.69,4.0,0.0,0.0
2. İnönü Mahallesi,Narlıdere,13.38,1.0,0.0,0.0
2.Kadriye Mahallesi,Konak,0.0,0.0,0.0,0.0
26 Ağustos Mahallesi,Konak,0.0,0.0,0.0,0.0
29 Ekim Mahallesi,Menemen,910.8,7.0,0.0,0.0
30 Ağustos Mahallesi,Menemen,0.0,0.0,7000.0,1.0
4 Eylül Mahallesi,Tire,2.37,1.0,49.76,5.0
75. Yıl Mahallesi,Bayraklı,0.0,0.0,0.0,0.0
75.Yıl Cumhuriyet Mahallesi,Menemen,0.0,0.0,0.0,0.0
8 Eylül Mahallesi,Kemalpaşa,0.0,0.0,0.0,0.0
85. Yıl Cumhuriyet Mahallesi,Kemalpaşa,371.9,4.0,0.0,0.0
85.Yıl Cumhuriyet Mahallesi,Menemen,0.0,0.0,0.0,0.0
9 Eylül Mahallesi,Menemen,0.0,0.0,0.0,0.0
Abdi İpekçi Mahallesi,Karabağlar,0.0,0.0,1.83,1.0
Acarlar Mahallesi,Selçuk,3.21,1.0,0.0,0.0
Adaküre Mahallesi,Beydağ,3.0,1.0,0.0,0.0
Adalet Mahallesi,Bayraklı,0.0,0.0,0.0,0.0
Adatepe Mahallesi,Buca,243.45,4.0,0.0,0.0
Adnan Menderes Mahallesi,Tire,16.71,2.0,0.0,0.0
Adnan Süvari Mahallesi,Karabağlar,9.74,2.0,30.69,6.0
Ahmet Efendi Mahallesi,Çiğli,3.0,1.0,0.0,0.0
Ahmet Taner Kışlalı Mahallesi,Çiğli,19.23,3.0,15.37,1.0
Ahmetbeyler Mahallesi,Bergama,600.0,1.0,0.0,0.0
Ahmetbeyli Mahallesi,Menderes,856.37,2.0,0.0,0.0
Ahmetler Mahallesi,Kiraz,1.37,1.0,0.0,0.0
Ahmetli Mahallesi,Torbalı,158.18,1.0,0.0,0.0
Ahıhıdır Mahallesi,Menemen,0.0,0.0,0.0,0.0
Akalan Mahallesi,Kemalpaşa,1593.56,5.0,0.0,0.0
Akarca Mahallesi,Seferihisar,0.0,0.0,0.0,0.0
Akarcalı Mahallesi,Konak,5.5,1.0,0.0,0.0
Akdeniz Mahallesi,Konak,3.2,2.0,0.0,0.0
Akkoyunlu Mahallesi,Tire,2.09,1.0,0.0,0.0
Akmescit Mahallesi,Tire,1.92,1.0,0.0,0.0
Akpınar Mahallesi,Kiraz,4.95,1.0,0.0,0.0
Aksoy Mahallesi,Karşıyaka,8282.85,7.0,8.3,2.0
Aktepe Mahallesi,Beydağ,35.3,2.0,0.0,0.0
Akyurt Mahallesi,Tire,1.72,1.0,0.0,0.0
Akçaköy Mahallesi,Menderes,4.21,1.0,0.0,0.0
Akçaşehir Mahallesi,Tire,1.3,1.0,0.0,0.0
Akçenger Mahallesi,Bergama,450.0,1.0,0.0,0.0
Akın Simav Mahallesi,Konak,0.0,0.0,0.0,0.0
Akıncı Mahallesi,Konak,1.3,1.0,423.03,2.0
Akıncılar Mahallesi,Ödemiş,384.19,2.0,0.0,0.0
Alacalar Mahallesi,Bergama,2.5,1.0,0.0,0.0
Alacalı Mahallesi,Tire,1.17,1.0,0.0,0.0
Alakeçili Mahallesi,Beydağ,352.0,1.0,0.0,0.0
Alaniçi Mahallesi,Menemen,0.0,0.0,0.0,0.0
Alanköy Mahallesi,Bayındır,9.55,1.0,0.0,0.0
Alankıyı Mahallesi,Bayındır,2.0,1.0,0.0,0.0
Alaybey Mahallesi,Karşıyaka,5172.14,3.0,8.3,2.0
Alaylı Mahallesi,Tire,1.22,1.0,0.0,0.0
Alaçatı Mahallesi,Çeşme,75.49,17.0,0.0,0.0
Alaşarlı Mahallesi,Ödemiş,3.05,1.0,1.01,0.0
Alhatlı Mahallesi,Bergama,350.0,1.0,0.0,0.0
Ali Fuat Cebesoy Mahallesi,Karabağlar,15.52,4.0,0.0,1.0
Ali Fuat Erden Mahallesi,Karabağlar,0.0,0.0,0.0,0.0
Ali Reis Mahallesi,Konak,0.0,0.0,3.89,2.0
Aliağa Organize Sanayi Bölgesi,Aliağa,0.0,0.0,0.0,0.0
Alibeyli Mahallesi,Bergama,5.0,1.0,0.0,0.0
Alpaslan Mahallesi,Bayraklı,0.0,0.0,0.0,0.0
Alpkent Mahallesi,Torbalı,11.99,3.0,0.0,0.0
Alsancak Mahallesi,Konak,1580.0,2.0,0.0,0.0
Altay Mahallesi,Konak,0.0,0.0,2.59,1.0
Altıevler Mahallesi,Narlıdere,4.3,3.0,0.0,0.0
Altınkum Mahallesi,Çeşme,5.0,2.0,0.0,0.0
Altınoluk Mahallesi,Kiraz,1.1,1.0,0.0,0.0
Altınordu Mahallesi,Konak,0.0,0.0,3.89,2.0
Altıntaş Mahallesi,Urla,17.62,3.0,33.07,3.0
Altıntepe Mahallesi,Menderes,7.92,1.0,0.0,0.0
Altınyunus Mahallesi,Çeşme,502.76,3.0,0.0,0.0
Anadolu Mahallesi,Konak,1.5,1.0,0.0,0.0
