name,ilce_adi,NDVI,NDBI
1.Kadriye Mahallesi,Konak,0.1021873293406082,0.0807202431878031
100. Yıl Mahallesi,Bayraklı,0.1984201973845236,0.0528506069062539
14 Mayıs Mahallesi,Selçuk,0.5531766837383871,-0.1631632138290334
16 Eylül Mahallesi,Çeşme,0.2849116779442718,0.0002112084933849119
19 Mayıs Mahallesi,Torbalı,0.3191004101876044,-0.036771991627736
2. İnönü Mahallesi,Narlıdere,0.6730605610647148,-0.2718415430530843
2.Kadriye Mahallesi,Konak,0.2556260511855804,0.0277346152376
26 Ağustos Mahallesi,Konak,0.1182504703069064,0.0850301202015382
29 Ekim Mahallesi,Menemen,0.3988271291568989,-0.05828440133112775
30 Ağustos Mahallesi,Menemen,0.1967081347441251,0.0091966127866906
4 Eylül Mahallesi,Tire,0.1920470190967359,0.0346693671934441
75. Yıl Mahallesi,Bayraklı,0.2247551148759276,0.0182492651183498
75.Yıl Cumhuriyet Mahallesi,Menemen,0.3173620573070811,-0.062518654635168
8 Eylül Mahallesi,Kemalpaşa,0.3727439290771931,-0.0401057561206475
85. Yıl Cumhuriyet Mahallesi,Kemalpaşa,0.4335064840299434,-0.1079582794314206
85.Yıl Cumhuriyet Mahallesi,Menemen,0.3041768627640775,-0.0485508287870181
9 Eylül Mahallesi,Menemen,0.310034913967694,-0.0306652820967605
Abdi İpekçi Mahallesi,Karabağlar,0.1449411985485267,0.0891406224345008
Acarlar Mahallesi,Selçuk,0.5514658356410412,-0.1596258173209656
Adaküre Mahallesi,Beydağ,0.5716383253160662,-0.1312050823292758
Adalet Mahallesi,Bayraklı,0.1771445975310206,0.011301458286529
Adatepe Mahallesi,Buca,0.4693050300592482,-0.1077026462864751
Adnan Menderes Mahallesi,Tire,0.3747077795307046,-0.0257802524924236
Adnan Süvari Mahallesi,Karabağlar,0.2500428957727784,0.0096968328907543
Ahmet Efendi Mahallesi,Çiğli,0.1913681905509752,0.0093057221077293
Ahmet Taner Kışlalı Mahallesi,Çiğli,0.2929607033781007,-0.0313828169827758
Ahmetbeyler Mahallesi,Bergama,0.3580084470335887,0.0049910845090794
Ahmetbeyli Mahallesi,Menderes,0.5936288553371669,-0.168170636727678
Ahmetler Mahallesi,Kiraz,0.53934804614849,-0.0451825137961927
Ahmetli Mahallesi,Torbalı,0.6064408412357251,-0.1779566739302791
Ahıhıdır Mahallesi,Menemen,0.3861093957533622,-0.0677420223997017
Akalan Mahallesi,Kemalpaşa,0.46047268664761,-0.0723726672539899
Akarca Mahallesi,Seferihisar,0.3319304181090047,-0.0151190173760777
Akarcalı Mahallesi,Konak,0.1838762254805947,0.044530912309448
Akdeniz Mahallesi,Konak,0.0910719041183299,0.0527373994773063
Akkoyunlu Mahallesi,Tire,0.4162027624319666,-0.0026339235316099
Akmescit Mahallesi,Tire,0.4353459919720576,-0.037204742909297
Akpınar Mahallesi,Kiraz,0.496626907113488,-0.0801122068266315
Aksoy Mahallesi,Karşıyaka,0.1821039750455191,0.0347682777799296
Aktepe Mahallesi,Beydağ,0.271394701632568,0.01442949411032755
Akyurt Mahallesi,Tire,0.5932617652577875,-0.1802234095716926
Akçaköy Mahallesi,Menderes,0.3708519875641244,0.0062834391729804
Akçaşehir Mahallesi,Tire,0.5618533987461504,-0.1564528909965526
Akçenger Mahallesi,Bergama,0.4436129761816584,-0.0248237459743111
Akın Simav Mahallesi,Konak,0.1274245358604333,0.0793516942431784
Akıncı Mahallesi,Konak,0.1048053224891562,0.0985202198008535
Akıncılar Mahallesi,Ödemiş,0.2158342884996307,0.03249986581809585
Alacalar Mahallesi,Bergama,0.5230839506066468,-0.0926782556764965
Alacalı Mahallesi,Tire,0.4447073813944482,-0.0170587725841429
Alakeçili Mahallesi,Beydağ,0.5700238064002084,-0.1354858988807672
Alaniçi Mahallesi,Menemen,0.4612807850899507,-0.0667162740273437
Alanköy Mahallesi,Bayındır,0.5877115005237614,-0.1286055921380068
Alankıyı Mahallesi,Bayındır,0.6881277981236429,-0.2495581246887491
Alaybey Mahallesi,Karşıyaka,0.1320137885620659,0.0742700153444304
Alaylı Mahallesi,Tire,0.6558939120120706,-0.2211800129976043
