ilce_adi,ilce_id,mahalle_adi,lat,lon,alan_m2,adres,tabela_no
ÇEŞME,1001,ÜNİVERSİTE,38.359739740429,26.30963585461,2.496,4261/1 Sk.,3509-024-01
KINIK,996,KALEMKÖY,39.044441364998,27.501204154956,550.0,29 EKİM Cd.,3518-020-01
ÇİĞLİ,16,SASALI MERKEZ,38.494252973057,26.946667796092,9.2,39 Sk.,3510-023-01
KINIK,996,ÇANKÖY,39.016924849555,27.435947710772,937.0,SERİN KUYU KümeEvleri,3518-011-01
MENDERES,13,BARBAROS,38.253342172883,27.122861637517,3.678,321 Sk.,3521-006-01
KINIK,996,DÜNDARLI,39.101779432817,27.30441267072,2.65,YAYAKENT Cd.,3518-014-01
MENDERES,13,ALTINTEPE,38.249382283723,27.140875269327,7.916,9504 Sk.,3521-003-01
MENDERES,13,ÇİLEME,38.136594626074,27.194937789239,24.349,KARAKUYU YOLU Cd.,3521-013-01
ÇEŞME,1001,MUSALLA,38.318896910846,26.308273376476,940.0,1049 Sk.,3509-018-01
BAYINDIR,7,ALANKÖY,38.24506889888,27.779270012113,9.554,TERS DERE Sk.,3504-002-01
MENDERES,13,ORTA,38.052700154702,27.052288047645,3.353,1150/1 Sk.,3521-041-01
KINIK,996,YAYLAKÖY,39.032391422406,27.513562393481,4.57,UYGAR Sk.,3518-036-01
BAYINDIR,7,ÇİFTÇİGEDİĞİ,38.20022814358,27.50289664516,728.0,ÇİFTÇİGEDİĞİ KümeEvleri,3504-015-01
MENDERES,13,OĞLANANASI ATATÜRK,38.242978648396,27.214850232709,3.072,İKİNCİ İNÖNÜ ZAFERİ Cd.,3521-039-01
GÜZELBAHÇE,1,KÜÇÜKKAYA,38.333336358164,26.896409095239,10.042,ESKİ KÜÇÜKKAYA Sk.,3514-005-01
ÇEŞME,1001,ÇAKABEY,38.31212895716,26.336291603959,2.1,2250 Sk.,3509-009-01
ÇEŞME,1001,YALI,38.335582829961,26.43245363473,3820.0,6267 Sk.,3509-025-01
BAYINDIR,7,BURUNCUK,38.198002461252,27.714511151552,500.0,BURUNCUK KümeEvleri,3504-007-01
KINIK,996,SUCAHLI,39.07606562283,27.287010626394,2.5,YAYAKENT YOLU Sk.,3518-032-01
BEYDAĞ,993,SARIKAYA,38.117150382321,28.17816636571,768.0,UYGAR KümeEvleri,3506-019-01
BEYDAĞ,993,ATATÜRK,38.085167281018,28.216001468743,1.0,NAZİLLİ Cd.,3506-004-01
MENDERES,13,ATA,38.292019971734,27.131444598272,15.658,5101 Sk.,3521-004-01
ÇEŞME,1001,16 EYLÜL,38.335557433066,26.303370291492,7.3,3011 Sk.,3509-001-01
BEYDAĞ,993,ÇOMAKLAR,38.063244038052,28.249963467023,1.6,ÇOMAKLAR KümeEvleri,3506-010-01
ÇEŞME,1001,ILDIR,38.376092499599,26.488570455041,2.9,37208 Sk.,3509-014-01
ÇEŞME,1001,ALTINYUNUS,38.315643513463,26.342170969985,1.06,3436/1 Sk.,3509-004-01
ÇEŞME,1001,MUSALLA,38.314380775988,26.303965778946,3.04,1066 Sk.,3509-018-11
BAYINDIR,7,CAMİİ,38.223282022404,27.646525500325,4.985,PAMUK PAZARI Sk.,3504-008-01
