HEDEF_ALAN_M2_2025,HEDEF_ALAN_M2_2026,HEDEF_ALAN_M2_2027,EKLENMESI_GEREKEN_ALAN_M2_2025,EKLENMESI_GEREKEN_ALAN_M2_2026,EKLENMESI_GEREKEN_ALAN_M2_2027
33159.0,33016.5,32874.0,31559.0,31416.5,31274.0
39315.0,39642.0,39970.5,30215.0,30542.0,30870.5
48433.5,48835.5,49240.5,30033.5,30435.5,30840.5
32676.0,32787.0,32898.0,29639.0,29750.0,29861.0
36487.5,36061.5,35641.5,30122.5,29696.5,29276.5
31227.0,30862.5,30502.5,26300.0,25935.5,25575.5
43426.5,43177.5,42930.0,25726.5,25477.5,25230.0
33436.5,33714.0,33994.5,24276.5,24554.0,24834.5
29347.5,29221.5,29095.5,25002.5,24876.5,24750.5
30973.5,31230.0,31489.5,23073.5,23330.0,23589.5
29439.0,29311.5,29185.5,23483.0,23355.5,23229.5
26574.0,26794.5,27016.5,22574.0,22794.5,23016.5
32448.0,32308.5,32169.0,22933.0,22793.5,22654.0
30022.5,29850.0,29679.0,22372.5,22200.0,22029.0
21051.0,20961.0,20869.5,20366.0,20276.0,20184.5
23476.5,24135.0,24813.0,17719.5,18378.0,19056.0
23623.5,23820.0,24018.0,18223.5,18420.0,18618.0
21934.5,21840.0,21745.5,18660.5,18566.0,18471.5
17995.5,18354.0,18721.5,17437.5,17796.0,18163.5
24762.0,24375.0,23995.5,18876.0,18489.0,18109.5
26028.0,25915.5,25804.5,18102.0,17989.5,17878.5
44563.5,44371.5,44179.5,17919.5,17727.5,17535.5
26142.0,26778.0,27430.5,16018.0,16654.0,17306.5
18963.0,19120.5,19279.5,16763.0,16920.5,17079.5
23778.0,23676.0,23574.0,16978.0,16876.0,16774.0
39775.5,39604.5,39433.5,16975.5,16804.5,16633.5
32185.5,31810.5,31440.0,16795.5,16420.5,16050.0
18132.0,17920.5,17712.0,16267.0,16055.5,15847.0
26110.5,25998.0,25885.5,15502.5,15390.0,15277.5
16729.5,16534.5,16341.0,15573.5,15378.5,15185.0
28948.5,28824.0,28699.5,15343.5,15219.0,15094.5
23539.5,23271.0,23005.5,15471.5,15203.0,14937.5
16333.5,16078.5,15828.0,15053.5,14798.5,14548.0
33082.5,32940.0,32797.5,14832.5,14690.0,14547.5
23365.5,23092.5,22824.0,13997.5,13724.5,13456.0
20449.5,20215.5,19984.5,13602.5,13368.5,13137.5
15913.5,15727.5,15544.5,13411.5,13225.5,13042.5
19401.0,19290.0,19179.0,13201.0,13090.0,12979.0
15594.0,15412.5,15232.5,13324.0,13142.5,12962.5
30007.5,30064.5,30120.0,12044.5,12101.5,12157.0
23331.0,23067.0,22806.0,12589.0,12325.0,12064.0
13788.0,13627.5,13468.5,12098.0,11937.5,11778.5
12159.0,12016.5,11877.0,11619.0,11476.5,11337.0
12267.0,12127.5,11991.0,11552.0,11412.5,11276.0
18313.5,18234.0,18156.0,11413.5,11334.0,11256.0
12586.5,12439.5,12294.0,11436.5,11289.5,11144.0
29476.5,29349.0,29223.0,11237.5,11110.0,10984.0
11535.0,11631.0,11727.0,10535.0,10631.0,10727.0
15064.5,14889.0,14715.0,10687.5,10512.0,10338.0
14260.5,14178.0,14097.0,10310.5,10228.0,10147.0
16366.5,16176.0,15987.0,10462.5,10272.0,10083.0
12585.0,12937.5,13300.5,9159.0,9511.5,9874.5
15790.5,15606.0,15424.5,10190.5,10006.0,9824.5
14589.0,14419.5,14251.5,10134.0,9964.5,9796.5
12640.5,12892.5,13150.5,9285.5,9537.5,9795.5
11142.0,11011.5,10884.0,10042.0,9911.5,9784.0
13528.5,13641.0,13753.5,9528.5,9641.0,9753.5
13423.5,13534.5,13647.0,9523.5,9634.5,9747.0
14682.0,14452.5,14227.5,10179.0,9949.5,9724.5
19753.5,19668.0,19584.0,9431.5,9346.0,9262.0
13257.0,13200.0,13143.0,9257.0,9200.0,9143.0
10489.5,10444.5,10399.5,9224.5,9179.5,9134.5
12160.5,12022.5,11886.0,9185.5,9047.5,8911.0
10285.5,10165.5,10047.0,9041.5,8921.5,8803.0
44290.5,44658.0,45028.5,7990.5,8358.0,8728.5
22510.5,23058.0,23619.0,7490.5,8038.0,8599.0
10824.0,10654.5,10488.0,8624.0,8454.5,8288.0
9744.0,9630.0,9517.5,8446.0,8332.0,8219.5
9598.5,9631.5,9663.0,8098.5,8131.5,8163.0
10512.0,10348.5,10186.5,8487.0,8323.5,8161.5
12532.5,12574.5,12618.0,8069.5,8111.5,8155.0
11791.5,12123.0,12462.0,7381.5,7713.0,8052.0
9823.5,9781.5,9739.5,8112.5,8070.5,8028.5
23481.0,23530.5,23580.0,7768.0,7817.5,7867.0
9598.5,9448.5,9301.5,7698.5,7548.5,7401.5
9127.5,9021.0,8916.0,7597.5,7491.0,7386.0
13443.0,13287.0,13131.0,7674.0,7518.0,7362.0
9297.0,9373.5,9451.5,7197.0,7273.5,7351.5
7002.0,7198.5,7401.0,6862.0,7058.5,7261.0
12648.0,12504.0,12361.5,6813.0,6669.0,6526.5
11389.5,11413.5,11437.5,6249.5,6273.5,6297.5
11706.0,11673.0,11640.0,6343.0,6310.0,6277.0
8082.0,7956.0,7831.5,6502.0,6376.0,6251.5
18321.0,18472.5,18627.0,5921.0,6072.5,6227.0
7513.5,7396.5,7281.0,6431.5,6314.5,6199.0
9646.5,9591.0,9535.5,6096.5,6041.0,5985.5
10315.5,10155.0,9996.0,6245.5,6085.0,5926.0
7336.5,7312.5,7288.5,5929.5,5905.5,5881.5
35235.0,36093.0,36970.5,4128.0,4986.0,5863.5
9136.5,9393.0,9657.0,5296.5,5553.0,5817.0
11431.5,11298.0,11166.0,6043.5,5910.0,5778.0
8248.5,8200.5,8154.0,5848.5,5800.5,5754.0
