ILCE,MAHALLE,ALAN_M2,NUFUS_2025,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027,KISI_BASI_M2_2025,KISI_BASI_M2_2026,KISI_BASI_M2_2027
TORBALI,TORBALI,3248.0,23490,24062,24647,0.14,0.13,0.13
KARSIYAKA,YALI,6353.0,36948,36736,36525,0.17,0.17,0.17
KARSIYAKA,BAHCELIEVLER,4376.0,24687,24545,24404,0.18,0.18,0.18
GAZIEMIR,IRMAK,3100.0,16418,16453,16488,0.19,0.19,0.19
URLA,GULBAHCE,1485.0,7039,7249,7465,0.21,0.2,0.2
TORBALI,ATATURK,3315.0,15007,15372,15746,0.22,0.22,0.21
CESME,REISDERE,1200.0,5199,5308,5419,0.23,0.23,0.22
BUCA,ATATURK,4191.0,19651,19566,19482,0.21,0.21,0.22
ODEMIS,ATATURK,1900.0,8503,8478,8453,0.22,0.22,0.22
BALCOVA,CETINEMEC,2500.0,10953,10828,10704,0.23,0.23,0.23
SEFERIHISAR,HIDIRLIK,2000.0,7076,7394,7726,0.28,0.27,0.26
TORBALI,ERTUGRUL,5207.0,19213,19681,20160,0.27,0.26,0.26
DIKILI,SALIMBEY,1650.0,6341,6405,6469,0.26,0.26,0.26
GUZELBAHCE,KAHRAMANDERE,1772.0,6134,6287,6444,0.29,0.28,0.27
MENDERES,KEMALPASA,3179.0,10672,10805,10940,0.3,0.29,0.29
ALIAGA,SITELER,4461.0,14104,14386,14673,0.32,0.31,0.3
GAZIEMIR,GAZI,5000.0,15654,15687,15720,0.32,0.32,0.32
KONAK,GUZELYALI,5700.0,16508,16250,15997,0.35,0.35,0.36
BAYRAKLI,GUMUSPALA,5515.0,15554,15378,15204,0.35,0.36,0.36
NARLIDERE,ILICA,3000.0,8231,8176,8121,0.36,0.37,0.37
BAYINDIR,ZEYTINOVA,435.0,1184,1182,1179,0.37,0.37,0.37
KARABAGLAR,ARAPHASAN,3300.0,9192,9085,8979,0.36,0.36,0.37
KARABAGLAR,KARABAGLAR,2734.0,7621,7532,7444,0.36,0.36,0.37
ALIAGA,KULTUR,3386.0,8592,8763,8938,0.39,0.39,0.38
CESME,GERMIYAN,764.0,1783,1820,1858,0.43,0.42,0.41
KARABAGLAR,SEVGI,4132.0,9726,9613,9501,0.42,0.43,0.43
KEMALPASA,MEHMETAKIFERSOY,9100.0,19913,20317,20728,0.46,0.45,0.44
BAYRAKLI,MANAVKUYU,10829.0,24158,23884,23614,0.45,0.45,0.46
NARLIDERE,CAMTEPE,2700.0,5952,5912,5873,0.45,0.46,0.46
KONAK,MURATREIS,5000.0,11182,11007,10836,0.45,0.45,0.46
KONAK,CANKAYA,4550.0,9788,9635,9485,0.46,0.47,0.48
SELCUK,CUMHURIYET,3400.0,7107,7087,7067,0.48,0.48,0.48
CESME,CIFTLIK,1220.0,2427,2478,2530,0.5,0.49,0.48
