========================================================================
      2025 - 2027 IZMIR NEIGHBORHOODS ANNUAL DISASTER RISK PROJECTION    
========================================================================
Total Number of At-Risk Neighborhoods (2025): 212
Total Number of At-Risk Neighborhoods (2026): 213
Total Number of At-Risk Neighborhoods (2027): 213

Explanation of Why the Number Remains Stable?
Small districts of Izmir (Torbali, Cigli, etc.) are receiving migration, causing new neighborhoods to fall into the at-risk category due to population growth. Oppositely, central districts (Karabaglar, Bayrakli, etc.) are experiencing outward migration, leading to population decline. This dynamic creates a circulation between entries and exits in the at-risk list and this is balancing the overall total.

>>> NEIGHBORHOODS ENTERING 'AT-RISK' STATUS DUE TO POPULATION GROWTH <<<
-> KEMALPASA - ULUCAKISTIKLAL: (2025: 1.51 m² --> 2027: 1.45 m²) [Now entered the dangerous neighborhood status]
-> SEFERIHISAR - TURABIYE: (2025: 1.52 m² --> 2027: 1.4 m²) [Now entered the dangerous neighborhood status]

>>> NEIGHBORHOODS EXITING RISK DUE TO POPULATION DECLINE <<<
-> KONAK - MEHMETALIAKMAN: (2025: 1.49 m² --> 2027: 1.53 m²) [Exited the dangerous neighborhoods category]

------------------------------------------------------------------------
LIST OF ALL AT-RISK AND RECOVERED NEIGHBORHOODS ACROSS ALL YEARS
------------------------------------------------------------------------
       ILCE                           MAHALLE  ALAN_M2  NUFUS_2025  TAHMINI_NUFUS_2026  TAHMINI_NUFUS_2027  KISI_BASI_M2_2025  KISI_BASI_M2_2026  KISI_BASI_M2_2027
    MENEMEN                          YAHSELLI    140.0        4668                4799                4934               0.03               0.03               0.03
     ALIAGA                         BAHCEDERE    558.0       11997               12236               12481               0.05               0.05               0.04
       BUCA                          YIGITLER    685.0       14034               13974               13913               0.05               0.05               0.05
       BUCA                      MUSTAFAKEMAL   1600.0       22106               22011               21916               0.07               0.07               0.07
 KARABAGLAR                             AYDIN    540.0        8106                8011                7918               0.07               0.07               0.07
   BAYRAKLI                    MUHITTINERENER    715.0        8178                8085                7994               0.09               0.09               0.09
 KARABAGLAR                           GULYAKA   1156.0       11153               11023               10894               0.10               0.10               0.11
      KONAK                            ATILLA   1280.0       10889               10719               10552               0.12               0.12               0.12
    BORNOVA                         KOSUKAVAK   1000.0        7690                7754                7818               0.13               0.13               0.13
      CIGLI                        KUCUKCIGLI   3037.0       21784               21858               21932               0.14               0.14               0.14
 KARABAGLAR                         UGURMUMCU   1150.0        8391                8293                8196               0.14               0.14               0.14
 KARABAGLAR                             BARIS   1100.0        7428                7341                7256               0.15               0.15               0.15
 KARABAGLAR                         REFETBELE   1865.0       12088               11947               11808               0.15               0.16               0.16
    BORNOVA                     GAZIOSMANPASA   2200.0       12642               12747               12853               0.17               0.17               0.17
       BUCA                            LALELI   1265.0        6993                6963                6933               0.18               0.18               0.18
 KARABAGLAR                       MUAMMERAKAR   1244.0        6857                6777                6698               0.18               0.18               0.19
      KONAK                             SAYGI    750.0        4157                4092                4028               0.18               0.18               0.19
 KARABAGLAR                         ARAPHASAN   1690.0        9192                9085                8979               0.18               0.19               0.19
 KARABAGLAR                        METINOKTAY   1298.0        6496                6420                6345               0.20               0.20               0.20
    MENEMEN                         HATUNDERE    738.0        3329                3422                3518               0.22               0.22               0.21
       BUCA                          BUCAKOOP   4345.0       19565               19481               19397               0.22               0.22               0.22
 KARABAGLAR                           DOGANAY   2270.0       10396               10275               10155               0.22               0.22               0.22
      KONAK                          ALTINTAS   1082.0        5009                4931                4854               0.22               0.22               0.22
    BORNOVA                         RAFETPASA   4000.0       17716               17863               18011               0.23               0.22               0.22
       BUCA                          HURRIYET   3274.0       14623               14560               14497               0.22               0.22               0.23
      CIGLI                         GUZELTEPE   1500.0        6399                6421                6442               0.23               0.23               0.23
 KARABAGLAR                          GUNALTAY   4927.0       20818               20575               20335               0.24               0.24               0.24
 KARABAGLAR                             BAHAR   2502.0       10609               10485               10363               0.24               0.24               0.24
       BUCA                             GUVEN   1711.0        6549                6521                6493               0.26               0.26               0.26
 KARABAGLAR                 YUZBASISERAFETTIN   1530.0        6085                6014                5944               0.25               0.25               0.26
 KARABAGLAR                             VATAN   6365.0       24325               24041               23761               0.26               0.26               0.27
 KARABAGLAR                         LIMONTEPE   1275.0        4534                4481                4429               0.28               0.28               0.29
       TIRE                          KURTULUS   1407.0        4891                4875                4859               0.29               0.29               0.29
