****************************************************************************************************
                              NEIGHBORHOOD MATCHING VALIDATION REPORT
====================================================================================================
Total matched/processed records: 1177

ILCE                          MAHALLE                       AFAD_MAHALLE                  ESLESME_TURU                  
------------------------------------------------------------------------------------------------------------------------
ALIAGA                        ASAGISAKRAN                   ASAGISAKRAN                   EXACT                         
ALIAGA                        ATATURK                       ATATURK                       EXACT                         
ALIAGA                        B.HAYRETTINPASA               BARBAROSHAYRETTINPASA         ABBREVIATION                  
ALIAGA                        BAHCEDERE                     BAHCEDERE                     EXACT                         
ALIAGA                        BOZKOY                        BOZKOY                        EXACT                         
ALIAGA                        CAKMAKLI                      CAKMAKLI                      EXACT                         
ALIAGA                        CALTILIDERE                   CALTILIDERE                   EXACT                         
ALIAGA                        CITAK                         CITAK                         EXACT                         
ALIAGA                        CORAKLAR                      CORAKLAR                      EXACT                         
ALIAGA                        FATIH                         FATIH                         EXACT                         
ALIAGA                        GUZELHISAR                    GUZELHISAR                    EXACT                         
ALIAGA                        HACIOMERLI                    HACIOMERLI                    EXACT                         
ALIAGA                        HOROZGEDIGI                   HOROZGEDIGI                   EXACT                         
ALIAGA                        KALABAK                       KALABAK                       EXACT                         
ALIAGA                        KAPUKAYA                      KAPUKAYA                      EXACT                         
ALIAGA                        KARAKOY                       KARAKOY                       EXACT                         
ALIAGA                        KARAKUZU                      KARAKUZU                      EXACT                         
ALIAGA                        KAZIMDIRIK                    KAZIMDIRIK                    EXACT                         
ALIAGA                        KULTUR                        KULTUR                        EXACT                         
ALIAGA                        KURTULUS                      KURTULUS                      EXACT                         
ALIAGA                        MIMARSINAN                    MIMARSINAN                    EXACT                         
ALIAGA                        SAMURLU                       SAMURLU                       EXACT                         
ALIAGA                        SEHITKEMAL                    ASAGISEHITKEMAL               SUBSTRING                     
ALIAGA                        SITELER                       SITELER                       EXACT                         
ALIAGA                        UZUNHASANLAR                  UZUNHASANLAR                  EXACT                         
ALIAGA                        YALI                          YALI                          EXACT                         
ALIAGA                        YENI                          YENI                          EXACT                         
ALIAGA                        YUKARISEHITKEMAL              YUKARISEHITKEMAL              EXACT                         
ALIAGA                        YUKSEKKOY                     YUKSEKKOY                     EXACT                         
BALCOVA                       BAHCELERARASI                 BAHCELERARASI                 EXACT                         
BALCOVA                       CETINEMEC                     CETINEMEC                     EXACT                         
BALCOVA                       EGITIM                        EGITIM                        EXACT                         
BALCOVA                       FEVZICAKMAK                   FEVZICAKMAK                   EXACT                         
BALCOVA                       INCIRALTI                     INCIRALTI                     EXACT                         
BALCOVA                       KORUTURK                      KORUTURK                      EXACT                         
BALCOVA                       ONUR                          ONUR                          EXACT                         
BALCOVA                       TELEFERIK                     TELEFERIK                     EXACT                         
BAYINDIR                      ALANKIYI                      ALANKIYI                      EXACT                         
BAYINDIR                      ALANKOY                       ALANKOY                       EXACT                         
BAYINDIR                      ARIKBASI                      ARIKBASI                      EXACT                         
BAYINDIR                      BALCILAR                      BALCILAR                      EXACT                         
BAYINDIR                      BIYIKLAR                      BIYIKLAR                      EXACT                         
BAYINDIR                      BURUNCUK                      BURUNCUK                      EXACT                         
BAYINDIR                      CAMII                         CAMI                          STRICT_FUZZY                  
BAYINDIR                      CAMLIBEL                      CAMLIBEL                      EXACT                         
BAYINDIR                      CENIKLER                      CENIKLER                      EXACT                         
BAYINDIR                      CIFTCIGEDIGI                  CIFTCIGEDIGI                  EXACT                         
BAYINDIR                      CINARDIBI                     CINARDIBI                     EXACT                         
BAYINDIR                      CUMHURIYET                    CUMHURIYET                    EXACT                         
BAYINDIR                      DEMIRCILIK                    DEMIRCILIK                    EXACT                         
BAYINDIR                      DEREKOY                       DEREKOY                       EXACT                         
BAYINDIR                      DERNEKLI                      DERNEKLI                      EXACT                         
BAYINDIR                      ELIFLI                        ELIFLI                        EXACT                         
BAYINDIR                      ERGENLI                       ERGENLI                       EXACT                         
BAYINDIR                      FATIH                         FATIH                         EXACT                         
BAYINDIR                      FIRINLI                       FIRINLI                       EXACT                         
BAYINDIR                      GAZILER                       GAZILER                       EXACT                         
BAYINDIR                      HACIIBRAHIM                   HACIIBRAHIM                   EXACT                         
BAYINDIR                      HASKOY                        HASKOY                        EXACT                         
BAYINDIR                      HATAY                         HATAY                         EXACT                         
BAYINDIR                      HAVUZBASI                     HAVUZBASI                     EXACT                         
BAYINDIR                      HISARLIK                      HISARLIK                      EXACT                         
BAYINDIR                      IBRAHIMCAVUS                  IBRAHIMCAVUS                  EXACT                         
BAYINDIR                      KABAAGAC                      KABAAGAC                      EXACT                         
BAYINDIR                      KARAHALILLI                   KARAHALILLI                   EXACT                         
BAYINDIR                      KARAHAYIT                     KARAHAYIT                     EXACT                         
BAYINDIR                      KARAPINAR                     KARAPINAR                     EXACT                         
BAYINDIR                      KIZILCAAGAC                   KIZILCAAGAC                   EXACT                         
BAYINDIR                      KIZILCAOVA                    KIZILCAOVA                    EXACT                         
BAYINDIR                      KIZILKECILI                   KIZILKECILI                   EXACT                         
BAYINDIR                      KIZILOBA                      KIZILOBA                      EXACT                         
BAYINDIR                      KURT                          KURT                          EXACT                         
BAYINDIR                      LUTUFLAR                      LUTUFLAR                      EXACT                         
BAYINDIR                      MEKTEP                        MEKTEP                        EXACT                         
BAYINDIR                      MITHATPASA                    MITHATPASA                    EXACT                         
BAYINDIR                      NECATIUZA                     NECATIUZA                     EXACT                         
BAYINDIR                      ORTA                          ORTA                          EXACT                         
BAYINDIR                      OSMANLAR                      OSMANLAR                      EXACT                         
BAYINDIR                      PINARLI                       PINARLI                       EXACT                         
BAYINDIR                      SADIKPASA                     SADIKPASA                     EXACT                         
BAYINDIR                      SARIYURT                      SARIYURT                      EXACT                         
BAYINDIR                      SOGUTOREN                     SOGUTOREN                     EXACT                         
BAYINDIR                      TOKATBASI                     TOKATBASI                     EXACT                         
BAYINDIR                      TURAN                         TURAN                         EXACT                         
BAYINDIR                      YAKACIK                       YAKACIK                       EXACT                         
BAYINDIR                      YAKAPINAR                     YAKAPINAR                     EXACT                         
BAYINDIR                      YENI                          YENI                          EXACT                         
BAYINDIR                      YESILOVA                      YESILOVA                      EXACT                         
BAYINDIR                      YUSUFLU                       YUSUFLU                       EXACT                         
BAYINDIR                      ZEYTINOVA                     ZEYTINOVA                     EXACT                         
BAYRAKLI                      75.YIL                        75.YIL                        EXACT                         
BAYRAKLI                      ADALET                        ADALET                        EXACT                         
BAYRAKLI                      ALPASLAN                      ALPASLAN                      EXACT                         
BAYRAKLI                      BAYRAKLI                      BAYRAKLI                      EXACT                         
BAYRAKLI                      CAY                           CAY                           EXACT                         
BAYRAKLI                      CENGIZHAN                     CENGIZHAN                     EXACT                         
BAYRAKLI                      CICEK                         CICEK                         EXACT                         
BAYRAKLI                      DOGANCAY                      DOGANCAY                      EXACT                         
BAYRAKLI                      EMEK                          EMEK                          EXACT                         
BAYRAKLI                      FUATEDIPBAKSI                 FUATEDIPBAKSI                 EXACT                         
BAYRAKLI                      GUMUSPALA                     GUMUSPALA                     EXACT                         
BAYRAKLI                      KORFEZ                        KORFEZ                        EXACT                         
BAYRAKLI                      MANAVKUYU                     MANAVKUYU                     EXACT                         
BAYRAKLI                      MANSUROGLU                    MANSUROGLU                    EXACT                         
BAYRAKLI                      MUHITTINERENER                MUHITTINERENER                EXACT                         
BAYRAKLI                      ONUR                          ONUR                          EXACT                         
BAYRAKLI                      ORG.NAFIZGURMAN               ORG.NAFIZGURMAN               EXACT                         
BAYRAKLI                      OSMANGAZI                     OSMANGAZI                     EXACT                         
BAYRAKLI                      POSTACILAR                    POSTACILAR                    EXACT                         
BAYRAKLI                      R.SEVKETINCE                  REFIKSEVKETINCE               ABBREVIATION                  
BAYRAKLI                      SOGUKKUYU                     SOGUKKUYU                     EXACT                         
BAYRAKLI                      TEPEKULE                      TEPEKULE                      EXACT                         
BAYRAKLI                      YAMANLAR                      YAMANLAR                      EXACT                         
BERGAMA                       AHMETBEYLER                   AHMETBEYLER                   EXACT                         
BERGAMA                       AKCENGER                      AKCENGER                      EXACT                         
BERGAMA                       ALACALAR                      ALACALAR                      EXACT                         
BERGAMA                       ALHATLI                       ALHATLI                       EXACT                         
BERGAMA                       ALIBEYLI                      ALIBEYLI                      EXACT                         
BERGAMA                       ARMAGANLAR                    ARMAGANLAR                    EXACT                         
BERGAMA                       ASAGIBEY                      ASAGIBEY                      EXACT                         
BERGAMA                       ASAGICUMA                     ASAGICUMA                     EXACT                         
BERGAMA                       ASAGIILGINDERE                ASAGIILGINDERE                EXACT                         
BERGAMA                       ASAGIKIRIKLAR                 ASAGIKIRIKLAR                 EXACT                         
BERGAMA                       ATATURK                       ATATURK                       EXACT                         
BERGAMA                       ATCILAR                       ATCILAR                       EXACT                         
BERGAMA                       ATMACA                        ATMACA                        EXACT                         
BERGAMA                       AVUNDUK                       AVUNDUK                       EXACT                         
BERGAMA                       AVUNDURUK                     AVUNDURUK                     EXACT                         
BERGAMA                       AYASKENT                      AYASKENT                      EXACT                         
BERGAMA                       AYVATLAR                      AYVATLAR                      EXACT                         
BERGAMA                       AZIZIYE                       AZIZIYE                       EXACT                         
BERGAMA                       BAHCELIEVLER                  BAHCELIEVLER                  EXACT                         
BERGAMA                       BALABAN                       BALABAN                       EXACT                         
BERGAMA                       BAYRAMCILAR                   BAYRAMCILAR                   EXACT                         
BERGAMA                       BEKIRLER                      BEKIRLER                      EXACT                         
BERGAMA                       BOLCEK                        BOLCEK                        EXACT                         
BERGAMA                       BOZKOY                        BOZKOY                        EXACT                         
BERGAMA                       BOZYERLER                     BOZYERLER                     EXACT                         
BERGAMA                       CAKIRLAR                      CAKIRLAR                      EXACT                         
BERGAMA                       CALIBAHCE                     CALIBAHCE                     EXACT                         
BERGAMA                       CALTIKORU                     CALTIKORU                     EXACT                         
BERGAMA                       CAMAVLU                       CAMAVLU                       EXACT                         
BERGAMA                       CAMKOY                        CAMKOY                        EXACT                         
BERGAMA                       CAMOBA                        CAMOBA                        EXACT                         
BERGAMA                       CELTIKCI                      CELTIKCI                      EXACT                         
BERGAMA                       CEVAPLI                       CEVAPLI                       EXACT                         
BERGAMA                       CITKOY                        CITKOY                        EXACT                         
BERGAMA                       COBANLAR                      COBANLAR                      EXACT                         
BERGAMA                       CURUKBAGLAR                   CURUKBAGLAR                   EXACT                         
BERGAMA                       DAGISTAN                      DAGISTAN                      EXACT                         
BERGAMA                       DEMIRCIDERE                   DEMIRCIDERE                   EXACT                         
BERGAMA                       DEREKOY                       DEREKOY                       EXACT                         
BERGAMA                       DOGANCI                       DOGANCI                       EXACT                         
BERGAMA                       DURMUSLAR                     DURMUSLAR                     EXACT                         
BERGAMA                       EGILLER                       EGILLER                       EXACT                         
BERGAMA                       EGRIGOL                       EGRIGOL                       EXACT                         
BERGAMA                       FATIH                         FATIH                         EXACT                         
BERGAMA                       FERIZLER                      FERIZLER                      EXACT                         
BERGAMA                       FEVZIPASA                     FEVZIPASA                     EXACT                         
BERGAMA                       GAYLAN                        GAYLAN                        EXACT                         
BERGAMA                       GAZIOSMANPASA                 GAZIOSMANPASA                 EXACT                         
BERGAMA                       GAZIPASA                      GAZIPASA                      EXACT                         
BERGAMA                       GOBELLER                      GOBELLER                      EXACT                         
