ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2
ALIAGA,ASAGISAKRAN,267,700.0,35.12072237853369,0.3935735183802789,-0.0082084891249473,2.62
ALIAGA,B.HAYRETTINPASA,1597,21185.0,34.4736970830806,0.2839831539518727,0.0139531689818208,13.27
ALIAGA,BAHCEDERE,11997,558.0,41.26113081721618,0.2077043418771472,0.0929294910741519,0.05
ALIAGA,CAKMAKLI,884,4671.0,34.520734575121175,0.2609344328857811,0.0365518465659852,5.28
ALIAGA,CALTILIDERE,742,7830.0,35.66604684290295,0.3077590354770732,0.0009465261791975,10.55
ALIAGA,CITAK,487,2233.0,33.74904592583025,0.4785670142805812,-0.0822205597468105,4.59
ALIAGA,CORAKLAR,123,658.0,38.28254479087878,0.343857007397223,0.0361518234734949,5.35
ALIAGA,GUZELHISAR,694,5804.0,34.7372849037244,0.3786109640327094,-0.0326945642613412,8.36
ALIAGA,HACIOMERLI,910,23454.0,38.304469269795135,0.3325695254535848,0.0603476402918215,25.77
ALIAGA,HOROZGEDIGI,283,1800.0,35.896671369852804,0.2510259336386592,0.0059465453364919,6.36
ALIAGA,KARAKOY,193,2421.0,37.01861650464154,0.3571011635062665,0.0280761718825575,12.54
ALIAGA,KARAKUZU,515,4327.0,36.35974275408828,0.4274105666712409,-0.0341739012765119,8.4
ALIAGA,SAMURLU,422,1605.0,36.11927189843219,0.3645388870635772,-0.0269463898805913,3.8
ALIAGA,SEHITKEMAL,781,1617.0,30.9723330358677,0.4654759115686024,-0.0732930200502149,2.07
ALIAGA,UZUNHASANLAR,265,4527.0,39.10194290237342,0.3465289285247636,0.0152225918636949,17.08
ALIAGA,YUKARISEHITKEMAL,687,845.0,35.71449090699648,0.3351780814428676,-0.0144972954692323,1.23
ALIAGA,YUKSEKKOY,150,603.0,38.37114642565562,0.3283418525349009,0.0645155068835461,4.02
BALCOVA,BAHCELERARASI,597,13087.0,34.507207279041914,0.37199404767741,-0.0752446324158024,21.92
BALCOVA,CETINEMEC,10953,16813.0,34.358255847332,0.4712301655227959,-0.0973576908259165,1.54
BALCOVA,EGITIM,13633,6847.0,35.94981930446068,0.2011608807135167,0.0354180916824341,0.5
BALCOVA,INCIRALTI,3199,11889.0,34.77705172848839,0.3467064684245408,-0.0495337376129552,3.72
BALCOVA,KORUTURK,12300,27380.0,35.13326787671096,0.2520190003693164,-0.0121694871501917,2.23
BALCOVA,ONUR,15693,8068.0,37.133826294623006,0.1543898958257117,0.0647904250181727,0.51
