ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2,TARGET_AREA,AREA_DEFICIT,VULNERABILITY_RATIO
MENEMEN,MERMERLI,7981,22100.0,36.5209738696599,0.3840437634092007,-0.0622203243450991,2.77,11971.5,0.0,0.0
KARABAGLAR,YURDOGLU,10245,39600.0,37.563120408260616,0.2125054950880761,0.0159547442077239,3.87,15367.5,0.0,0.0
ODEMIS,HAMAM,562,2297.0,27.400237183573893,0.6149766761239877,-0.1473928952957827,4.09,843.0,0.0,0.0
BEYDAG,MENDERES,128,568.0,35.86135623167901,0.275694028697398,0.023060679655185,4.44,192.0,0.0,0.0
KIRAZ,YENIKOY,573,800.0,35.59198449641251,0.4636979384832934,-0.0745555206379373,1.4,859.5,59.5,6.9226294357184415
ODEMIS,BEYAZITLAR,208,6780.0,36.5284883164652,0.5257692368567248,-0.0714679628245056,32.6,312.0,0.0,0.0
BERGAMA,YUKARIKIRIKLAR,117,1000.0,37.31005177168085,0.3885016892125616,-0.0113834126553119,8.55,175.5,0.0,0.0
BAYRAKLI,DOGANCAY,2242,8426.0,34.09614402376763,0.4353983018972022,-0.0537870241306086,3.76,3363.0,0.0,0.0
BERGAMA,ILGINCABER,58,430.0,33.95630965896673,0.5072066804235569,-0.085929653293666,7.41,87.0,0.0,0.0
KIRAZ,KIBAR,390,400.0,34.11726835231498,0.2868349929420537,0.0317769727171848,1.03,585.0,185.0,31.62393162393162
KEMALPASA,DAMLACIK,1336,5099.0,31.78750804741584,0.5307413022891424,-0.1247236794074223,3.82,2004.0,0.0,0.0
TORBALI,DAGTEKE,149,200.0,32.07451348144309,0.6049670205308378,-0.1902311821443761,1.34,223.5,23.5,10.51454138702461
KARSIYAKA,IMBATLI,8890,11450.0,36.043966175771125,0.1776136592389822,0.0196161428442362,1.29,13335.0,1885.0,14.135733033370828
CESME,MUSALLA,5534,30143.0,33.88128997934066,0.307090632281032,0.019790674775797,5.45,8301.0,0.0,0.0
BERGAMA,FERIZLER,145,880.0,36.31267208277698,0.3544300099845851,0.0216316676599535,6.07,217.5,0.0,0.0
KIRAZ,CERITLER,741,1900.0,35.01395490573539,0.4748421864988086,-0.0610476026821874,2.56,1111.5,0.0,0.0
MENEMEN,BELEN,294,1024.0,36.77137934482195,0.4165380849087557,-0.031986489297317,3.48,441.0,0.0,0.0
KARABAGLAR,KAVACIK,713,1021.0,29.513954331838395,0.5756248884954573,-0.1578235938736154,1.43,1069.5,48.5,4.534829359513791
ALIAGA,ASAGISAKRAN,267,700.0,35.12072237853369,0.3935735183802789,-0.0082084891249473,2.62,400.5,0.0,0.0
MENEMEN,YAYLA,987,5474.0,31.790584373570315,0.5356727804986926,-0.1263637114806356,5.55,1480.5,0.0,0.0
KIRAZ,CANAKCI,286,1980.0,31.73693224105305,0.4976952284362451,-0.0484115155903795,6.92,429.0,0.0,0.0
CIGLI,AHMETTANERKISLALI,6354,19226.0,36.51867985433667,0.2929607033781007,-0.0313828169827758,3.03,9531.0,0.0,0.0
KIRAZ,BASARAN,319,1000.0,31.133173329034005,0.4796579350260981,-0.0232764748876239,3.13,478.5,0.0,0.0
KARSIYAKA,ALAYBEY,6990,5172138.0,35.81672589303898,0.1320137885620659,0.0742700153444304,739.93,10485.0,0.0,0.0
DIKILI,GOKCEAGIL,250,1300.0,35.891693764506364,0.4988664459011438,-0.0737624334831654,5.2,375.0,0.0,0.0
BERGAMA,MAHMUDIYE,196,950.0,37.0089395268219,0.3916918548941784,0.0095397275783915,4.85,294.0,0.0,0.0
BERGAMA,DAGISTAN,546,1000.0,33.847736604439056,0.4250157656654542,-0.0724698885836574,1.83,819.0,0.0,0.0
SELCUK,ACARLAR,388,3207.0,30.82933583081528,0.5514658356410412,-0.1596258173209656,8.27,582.0,0.0,0.0
KARSIYAKA,BOSTANLI,29564,102950.0,33.93940166993165,0.1942753420794144,0.0209097335964189,3.48,44346.0,0.0,0.0
TIRE,YAMANDERE,225,568.0,28.771290603619804,0.4672905658714045,-0.0748523916168381,2.52,337.5,0.0,0.0
BAYRAKLI,R.SEVKETINCE,12495,17502.0,37.486968169334425,0.1367205538999545,0.0519786957365898,1.4,18742.5,1240.5,6.6186474589835935
TORBALI,EGERCI,1028,219450.0,36.0457366679746,0.3647956678237389,-0.0694567941779575,213.47,1542.0,0.0,0.0
BERGAMA,ORUSLAR,359,830.0,32.978969198506604,0.4787167965009439,-0.0407490247989827,2.31,538.5,0.0,0.0
BUCA,DICLE,5892,6000.0,37.16300435627525,0.0923404020846537,0.0707732215441595,1.02,8838.0,2838.0,32.11133740665309
TIRE,KIZILCAHAVLU,473,2194.0,35.03132779961945,0.4485112418334113,-0.0957050777614374,4.64,709.5,0.0,0.0
BAYINDIR,YESILOVA,732,1070.0,36.08029618299706,0.2764695867395567,-0.022837147006966,1.46,1098.0,28.0,2.5500910746812386
BUCA,UFUK,15852,6800.0,34.60278897599503,0.3657584718587901,-0.0231851376665882,0.43,23778.0,16978.0,71.40213642863151
BERGAMA,EGRIGOL,159,4200.0,33.47465513134488,0.3933543460398861,-0.0215608642369853,26.42,238.5,0.0,0.0
CESME,ALTINYUNUS,453,3260.0,29.367679840113706,0.2800129695438109,-0.0697162321743605,7.2,679.5,0.0,0.0
KARABAGLAR,AYDIN,8106,540.0,35.66544032752435,0.2321007985063113,0.0219107088130474,0.07,12159.0,11619.0,95.55884529977794
CIGLI,HARMANDALIGAZIMUSTAFAKEMALATATURK,2826,1630.0,36.480853707499065,0.4053942232634034,-0.0544797210051673,0.58,4239.0,2609.0,61.54753479594244
BERGAMA,HALILAGALAR,76,330.0,31.14150400076993,0.5427244174638869,-0.1078836627423617,4.34,114.0,0.0,0.0
TORBALI,SEHITLER,760,5400.0,36.075984163048645,0.3640357339498981,-0.0471753241822391,7.11,1140.0,0.0,0.0
BERGAMA,GAYLAN,128,280.0,36.3514177332272,0.3864741841626653,-0.0018023794930385,2.19,192.0,0.0,0.0
BERGAMA,KIRCALAR,124,650.0,34.88172799069023,0.4085653552996373,-0.014060103468994,5.24,186.0,0.0,0.0
BAYINDIR,BIYIKLAR,572,2025.0,39.536899768427126,0.2580985661401235,0.0550527770534193,3.54,858.0,0.0,0.0
KIRAZ,KARABULU,446,3400.0,31.57599614209548,0.4635955143331195,-0.0116494173534008,7.62,669.0,0.0,0.0
BERGAMA,SULEYMANLI,139,380.0,36.70686160390133,0.380776081636514,-0.0295156082557046,2.73,208.5,0.0,0.0
