************************************************************************
          FULLY SAFE DISTRICTS DETAILED ANALYSIS REPORT
************************************************************************

* UNMATCHED / MISSING NEIGHBORHOODS
The following neighborhoods in these districts could not be matched with Area data.
They are excluded from the safety calculations (Treated as No Data).

   DISTRICT UNMATCHED_NEIGHBORHOOD  POPULATION
  NARLIDERE                ATATURK        5363
SEFERIHISAR                 AKARCA        3019
SEFERIHISAR            NECATHEPKON        6024
------------------------------------------------------------------------
DETAILS OF MATCHED SAFE NEIGHBORHOODS
------------------------------------------------------------------------
   DISTRICT     NEIGHBORHOOD  POPULATION  TOTAL_AREA_M2  PER_CAPITA_M2
     BEYDAG           AKTEPE         451        30000.0          66.52
     BEYDAG          KARAOBA         341        18000.0          52.79
     BEYDAG           BEYKOY         291         3000.0          10.31
     BEYDAG       CIFTLIKKOY         176         1700.0           9.66
     BEYDAG         EGRIDERE         635         5360.0           8.44
     BEYDAG          ADAKURE         387         3000.0           7.75
     BEYDAG         COMAKLAR         300         1600.0           5.33
     BEYDAG        YESILTEPE         269         1280.0           4.76
     BEYDAG          HALIKOY         381         1800.0           4.72
     BEYDAG         YAGCILAR         428         2000.0           4.67
     BEYDAG       PALAMUTCUK         234         1088.0           4.65
     BEYDAG         BAKIRKOY         221         1012.0           4.58
     BEYDAG           ERIKLI         330         1500.0           4.55
     BEYDAG         TABAKLAR          65          296.0           4.55
     BEYDAG         MENDERES         128          568.0           4.44
     BEYDAG           CAMLIK         378         1660.0           4.39
     BEYDAG         KURUDERE         462         2008.0           4.35
     BEYDAG         MUTAFLAR         291         1260.0           4.33
     BEYDAG     YUKARIAKTEPE         299         1280.0           4.28
     BEYDAG         SARIKAYA         181          768.0           4.24
     BEYDAG         YENIYURT          74          304.0           4.11
     BEYDAG   YUKARITOSUNLAR         157          608.0           3.87
     BEYDAG        ALAKECILI         102          352.0           3.45
     BEYDAG          ATATURK        2262         5697.0           2.52
     BEYDAG       CUMHURIYET        3061         7656.0           2.50
      CESME          CAKABEY         265         7000.0          26.42
      CESME            ARDIC         613        15118.0          24.66
      CESME         ALTINKUM         212         5001.0          23.59
      CESME      SEHITMEHMET         396         6440.0          16.26
      CESME            ILDIR         751        11300.0          15.05
      CESME          KARAKOY          28          344.0          12.29
      CESME          BOYALIK         495         5880.0          11.88
      CESME          SAKARYA        1202        14100.0          11.73
      CESME         GERMIYAN        1783        16592.0           9.31
