ILCE,MAHALLE,NUFUS_2025,ARTIS_HIZI_BINDE,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027
Aliaga,Ataturk Mah.,9104,19.96,9286,9471
Aliaga,Asagisakran Mah.,267,19.96,272,278
Aliaga,B.Hayrettin Pasa Mah.,1597,19.96,1629,1661
Aliaga,Bahcedere Mah.,11997,19.96,12236,12481
Aliaga,Bozkoy Mah.,539,19.96,550,561
Aliaga,Fatih Mah.,2490,19.96,2540,2590
Aliaga,Guzelhisar Mah.,694,19.96,708,722
Aliaga,Haciomerli Mah.,910,19.96,928,947
Aliaga,Horozgedigi Mah.,283,19.96,289,294
Aliaga,Kalabak Mah.,453,19.96,462,471
Aliaga,Kapukaya Mah.,175,19.96,178,182
Aliaga,Karakuzu Mah.,515,19.96,525,536
Aliaga,Karakoy Mah.,193,19.96,197,201
Aliaga,Kazim Dirik Mah.,8118,19.96,8280,8445
Aliaga,Kurtulus Mah.,8427,19.96,8595,8767
Aliaga,Kultur Mah.,8592,19.96,8763,8938
Aliaga,Mimar Sinan Mah.,1301,19.96,1327,1353
Aliaga,Samurlu Mah.,422,19.96,430,439
Aliaga,Siteler Mah.,14104,19.96,14386,14673
Aliaga,Uzunhasanlar Mah.,265,19.96,270,276
Aliaga,Yali Mah.,3685,19.96,3759,3834
Aliaga,Yeni Mah.,18474,19.96,18843,19219
Aliaga,Yukari Sehitkemal Mah.,687,19.96,701,715
Aliaga,Yuksekkoy Mah.,150,19.96,153,156
Aliaga,Cakmakli Mah.,884,19.96,902,920
Aliaga,Caltilidere Mah.,742,19.96,757,772
Aliaga,Coraklar Mah.,123,19.96,125,128
Aliaga,Citak Mah.,487,19.96,497,507
Aliaga,Ornekkent Mah.,7539,19.96,7689,7843
Aliaga,Sakran Hasbi Efendi Mah.,3277,19.96,3342,3409
Aliaga,Sakran Sayfiye Mah.,3617,19.96,3689,3763
Aliaga,Sehitkemal Mah.,781,19.96,797,812
Balcova,Bahcelerarasi Mah.,597,-11.42,590,583
Balcova,Egitim Mah.,13633,-11.42,13477,13323
Balcova,Fevzi Cakmak Mah.,10936,-11.42,10811,10688
Balcova,Koruturk Mah.,12300,-11.42,12160,12021
Balcova,Onur Mah.,15693,-11.42,15514,15337
Balcova,Teleferik Mah.,8432,-11.42,8336,8241
Balcova,Cetin Emec Mah.,10953,-11.42,10828,10704
Balcova,Inciralti Mah.,3199,-11.42,3162,3126
Bayrakli,100. Yil Mah.,6829,-11.33,6752,6675
