ILCE,MAHALLE,MAHALLE_NUFUS_2025,TARIH,YILLIK_NUFUS_ARTIS_HIZI,YILLIK_ARTIS_ORANI,NUFUS_2_YIL_SONRA
Aliaga,Ataturk Mah.,9104,2023,12.7,0.127,11563
Aliaga,Asagisakran Mah.,267,2023,12.7,0.127,339
Aliaga,B.Hayrettin Pasa Mah.,1597,2023,12.7,0.127,2028
Aliaga,Bahcedere Mah.,11997,2023,12.7,0.127,15238
Aliaga,Bozkoy Mah.,539,2023,12.7,0.127,685
Aliaga,Fatih Mah.,2490,2023,12.7,0.127,3163
Aliaga,Guzelhisar Mah.,694,2023,12.7,0.127,881
Aliaga,Haciomerli Mah.,910,2023,12.7,0.127,1156
Aliaga,Horozgedigi Mah.,283,2023,12.7,0.127,359
Aliaga,Kalabak Mah.,453,2023,12.7,0.127,575
Aliaga,Kapukaya Mah.,175,2023,12.7,0.127,222
Aliaga,Karakuzu Mah.,515,2023,12.7,0.127,654
Aliaga,Karakoy Mah.,193,2023,12.7,0.127,245
Aliaga,Kazim Dirik Mah.,8118,2023,12.7,0.127,10311
Aliaga,Kurtulus Mah.,8427,2023,12.7,0.127,10703
Aliaga,Kultur Mah.,8592,2023,12.7,0.127,10913
Aliaga,Mimar Sinan Mah.,1301,2023,12.7,0.127,1652
Aliaga,Samurlu Mah.,422,2023,12.7,0.127,536
Aliaga,Siteler Mah.,14104,2023,12.7,0.127,17914
Aliaga,Uzunhasanlar Mah.,265,2023,12.7,0.127,337
Aliaga,Yali Mah.,3685,2023,12.7,0.127,4680
Aliaga,Yeni Mah.,18474,2023,12.7,0.127,23464
Aliaga,Yukari Sehitkemal Mah.,687,2023,12.7,0.127,873
Aliaga,Yuksekkoy Mah.,150,2023,12.7,0.127,191
Aliaga,Cakmakli Mah.,884,2023,12.7,0.127,1123
Aliaga,Caltilidere Mah.,742,2023,12.7,0.127,942
Aliaga,Coraklar Mah.,123,2023,12.7,0.127,156
Aliaga,Citak Mah.,487,2023,12.7,0.127,619
Aliaga,Ornekkent Mah.,7539,2023,12.7,0.127,9576
Aliaga,Sakran Hasbi Efendi Mah.,3277,2023,12.7,0.127,4162
Aliaga,Sakran Sayfiye Mah.,3617,2023,12.7,0.127,4594
Aliaga,Sehitkemal Mah.,781,2023,12.7,0.127,992
Balcova,Bahcelerarasi Mah.,597,2023,-36.46,-0.36460000000000004,241
Balcova,Egitim Mah.,13633,2023,-36.46,-0.36460000000000004,5504
Balcova,Fevzi Cakmak Mah.,10936,2023,-36.46,-0.36460000000000004,4415
Balcova,Koruturk Mah.,12300,2023,-36.46,-0.36460000000000004,4966
Balcova,Onur Mah.,15693,2023,-36.46,-0.36460000000000004,6336
Balcova,Teleferik Mah.,8432,2023,-36.46,-0.36460000000000004,3404
Balcova,Cetin Emec Mah.,10953,2023,-36.46,-0.36460000000000004,4422
Balcova,Inciralti Mah.,3199,2023,-36.46,-0.36460000000000004,1292
Bayrakli,100. Yil Mah.,6829,2023,8.11,0.08109999999999999,7982
Bayrakli,75. Yil Mah.,3330,2023,8.11,0.08109999999999999,3892
Bayrakli,Adalet Mah.,18405,2023,8.11,0.08109999999999999,21511
Bayrakli,Alpaslan Mah.,8107,2023,8.11,0.08109999999999999,9475
Bayrakli,Bayrakli Mah.,6211,2023,8.11,0.08109999999999999,7259
Bayrakli,Cengizhan Mah.,12243,2023,8.11,0.08109999999999999,14309
Bayrakli,Dogancay Mah.,2242,2023,8.11,0.08109999999999999,2620
Bayrakli,Emek Mah.,12562,2023,8.11,0.08109999999999999,14682
Bayrakli,Fuat Edip Baksi Mah.,11077,2023,8.11,0.08109999999999999,12947
Bayrakli,Gumuspala Mah.,15554,2023,8.11,0.08109999999999999,18179
Bayrakli,Korfez Mah.,5916,2023,8.11,0.08109999999999999,6914
Bayrakli,Manavkuyu Mah.,24158,2023,8.11,0.08109999999999999,28235
Bayrakli,Mansuroglu Mah.,19688,2023,8.11,0.08109999999999999,23011
Bayrakli,Muhittin Erener Mah.,8178,2023,8.11,0.08109999999999999,9558
Bayrakli,Onur Mah.,14937,2023,8.11,0.08109999999999999,17458
Bayrakli,Org.Nafiz Gurman Mah.,13851,2023,8.11,0.08109999999999999,16189
Bayrakli,Osmangazi Mah.,25348,2023,8.11,0.08109999999999999,29626
Bayrakli,Postacilar Mah.,12544,2023,8.11,0.08109999999999999,14661
Bayrakli,R.Sevket Ince Mah.,12495,2023,8.11,0.08109999999999999,14604
Bayrakli,Sogukkuyu Mah.,11921,2023,8.11,0.08109999999999999,13933
Bayrakli,Tepekule Mah.,14256,2023,8.11,0.08109999999999999,16662
Bayrakli,Turan Mah.,311,2023,8.11,0.08109999999999999,363
Bayrakli,Yamanlar Mah.,18662,2023,8.11,0.08109999999999999,21812
Bayrakli,Cay Mah.,7816,2023,8.11,0.08109999999999999,9135
Bayrakli,Cicek Mah.,9840,2023,8.11,0.08109999999999999,11501
Bayindir,Alankoy Mah.,146,2023,13.51,0.1351,188
Bayindir,Alankiyi Mah.,389,2023,13.51,0.1351,501
Bayindir,Arikbasi Mah.,818,2023,13.51,0.1351,1054
Bayindir,Ataturk Mah.,595,2023,13.51,0.1351,767
Bayindir,Balcilar Mah.,310,2023,13.51,0.1351,399
