feature,importance
NDVI,0.26126346
NUFUS,0.124020636
ILCE_BORNOVA,0.117098846
ALAN_M2,0.109459974
ILCE_BERGAMA,0.06195039
ILCE_KARABAGLAR,0.05963613
ILCE_KIRAZ,0.048822444
ILCE_ODEMIS,0.04364708
ILCE_TIRE,0.042877648
ILCE_CIGLI,0.03519216
ILCE_TORBALI,0.030304668
NDBI,0.022510665
LST_C,0.014619676
ILCE_BAYRAKLI,0.010075983
ILCE_BAYINDIR,0.0068508736
ILCE_KARSIYAKA,0.006308042
ILCE_MENEMEN,0.0053613423
ILCE_BEYDAG,0.0
ILCE_ALIAGA,0.0
ILCE_GUZELBAHCE,0.0
ILCE_GAZIEMIR,0.0
ILCE_FOCA,0.0
ILCE_DIKILI,0.0
ILCE_CESME,0.0
ILCE_BUCA,0.0
ILCE_BALCOVA,0.0
ILCE_KARABURUN,0.0
ILCE_MENDERES,0.0
ILCE_KONAK,0.0
ILCE_KINIK,0.0
ILCE_KEMALPASA,0.0
ILCE_SEFERIHISAR,0.0
ILCE_NARLIDERE,0.0
ILCE_SELCUK,0.0
ILCE_URLA,0.0
