ILCE_ORJ,MAHALLE_ORJ
Aliaga,Ornekkent Mah.
Aliaga,Sakran Hasbi Efendi Mah.
Aliaga,Sakran Sayfiye Mah.
Bayrakli,100. Yil Mah.
Bayrakli,Turan Mah.
Bayindir,Ataturk Mah.
Bayindir,Haci Besir Mah.
Bayindir,Karaveliler Mah.
Bayindir,Yenice Mah.
Bayindir,Cinar Mah.
Bayindir,Cirpi Cami Mah.
Bergama,Barbaros Mah.
Bergama,Ertugrul Mah.
Bergama,Hacilar (Derekoy Bucagi) Mah.
Bergama,Mahmudiye Mah.
Bergama,Talatpasa Mah.
Bergama,Turabey Mah.
Bergama,Yukaribey Mah.
Bergama,Ismailli Mah.
Bornova,Sarnickoy Mah.
Bornova,Yakakoy Mah.
Buca,Dumlupinar Mah.
Buca,Yildizlar Mah.
Buca,Camlik Mah.
Dikili,Mazili Mah.
Karabaglar,Abdi Ipekci Mah.
Karabaglar,Ali Fuat Erden Mah.
Karabaglar,Esenlik Mah.
Karabaglar,Gazi Mah.
Karabaglar,General Kazim Ozalp Mah.
Karabaglar,Sariyer Mah.
Karabaglar,Umut Mah.
Karabaglar,Ozgur Mah.
Karabaglar,Ihsan Alyanak Mah.
Karabaglar,Sehitler Mah.
Kemalpasa,Bagyurdu Yeni Mah.
Kemalpasa,Yenmis Mah.
Kemalpasa,Cinarkoy Mah.
Kemalpasa,Oren Egemen Mah.
Konak,1.Kadriye Mah.
Konak,26 Agustos Mah.
Konak,Akin Simav Mah.
Konak,Ali Reis Mah.
Konak,Altay Mah.
Konak,Altinordu Mah.
Konak,Atamer Mah.
Konak,Aziziye Mah.
Konak,Ballikuyu Mah.
Konak,Bozkurt Mah.
Konak,Dayiemir Mah.
Konak,Dolaplikuyu Mah.
Konak,Duatepe Mah.
Konak,Ege Mah.
Konak,Etiler Mah.
Konak,Faik Pasa Mah.
Konak,Fatih Mah.
Konak,Fevzi Pasa Mah.
Konak,Gunes Mah.
Konak,Gungor Mah.
Konak,Guzelyurt Mah.
Konak,Hasan Ozdemir Mah.
Konak,Hursidiye Mah.
Konak,Huzur Mah.
Konak,Kadifekale Mah.
Konak,Kahraman Mescit Mah.
Konak,Kemal Reis Mah.
Konak,Kestelli Mah.
Konak,Kocakapi Mah.
Konak,Kocatepe Mah.
Konak,Kosova Mah.
Konak,Kubilay Mah.
Konak,Kurtulus Mah.
Konak,Kucukada Mah.
Konak,Levent Mah.
Konak,Mecidiye Mah.
Konak,Mehmet Akif Mah.
Konak,Mehtap Mah.
Konak,Millet Mah.
Konak,Mirali Mah.
Konak,Odunkapi Mah.
Konak,Pazaryeri Mah.
Konak,Sakarya Mah.
Konak,Selcuk Mah.
Konak,Sumer Mah.
Konak,Suvari Mah.
Konak,Tan Mah.
Konak,Trakya Mah.
Konak,Turgut Reis Mah.
Konak,Tuzcu Mah.
Konak,Turkyilmaz Mah.
Konak,Tinaztepe Mah.
Konak,Ugur Mah.
Konak,Veziraga Mah.
Konak,Yavuz Selim Mah.
Konak,Yenigun Mah.
Konak,Yesildere Mah.
Konak,Yesiltepe Mah.
Konak,Yildiz Mah.
Konak,Zafertepe Mah.
Konak,Zeybek Mah.
Konak,Cahabey Mah.
Konak,Cimentepe Mah.
Konak,Ulku Mah.
Konak,Imariye Mah.
Konak,Ismet Kaptan Mah.
Konak,Sehit Nedim Tugaltay Mah.
Menderes,Oglananasi Cumhuriyet Mah.
Menderes,Tekeli Fevzi Cakmak Mah.
Menemen,Kir Mah.
Menemen,Seydinnasrullah Mah.
Menemen,Tulbentli Mah.
Menemen,Yanikkoy Mah.
Menemen,Cukurkoy Mah.
Narlidere,Ataturk Mah.
Seferihisar,Akarca Mah.
Seferihisar,Necat Hepkon Mah.
Torbali,Karakuyu Mah.
Torbali,Subasi Mah.
Torbali,Yeni Mah.
Torbali,Caybasi Mah.
Cigli,Sasali Merkez Mah.
Odemis,Dereuzunyer Mah.
