ILCE_ORJ,MAHALLE_ORJ,ALAN_M2,NUFUS_2025,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027,XGB_TAHMINI_NUFUS_2026,XGB_TAHMINI_NUFUS_2027,KISI_BASI_M2_2025,XGB_KISI_BASI_M2_2026,XGB_KISI_BASI_M2_2027,HEDEF_ALAN_M2_2025,HEDEF_ALAN_M2_XGB_2026,HEDEF_ALAN_M2_XGB_2027,EKLENMESI_GEREKEN_ALAN_M2_2025,EKLENMESI_GEREKEN_ALAN_M2_XGB_2026,EKLENMESI_GEREKEN_ALAN_M2_XGB_2027,XGB_RISK_2025,XGB_RISK_2026,XGB_RISK_2027,ESLESME_TURU
Buca,Mustafa Kemal Mah.,1600.0,22106,22011,21916,21825,21860,0.07237853976296028,0.07331042382588775,0.07319304666056725,33159.0,32737.5,32790.0,31559.0,31137.5,31190.0,1,1,1,EXACT
Bornova,Yesilova Mah.,18400.0,32289,32557,32827,32568,32749,0.5698535104834463,0.5649717514124294,0.5618492167699777,48433.5,48852.0,49123.5,30033.5,30452.0,30723.5,1,1,1,EXACT
Cigli,Kucuk Cigli Mah.,3037.0,21784,21858,21932,21833,21895,0.13941424899008448,0.13910136032611184,0.13870746745832382,32676.0,32749.5,32842.5,29639.0,29712.5,29805.5,1,1,1,EXACT
Bornova,Inonu Mah.,9100.0,26210,26428,26647,26389,25640,0.34719572682182376,0.3448406533025124,0.3549141965678627,39315.0,39583.5,38460.0,30215.0,30483.5,29360.0,1,1,1,EXACT
Karabaglar,Vatan Mah.,6365.0,24325,24041,23761,23990,23790,0.2616649537512847,0.2653188828678616,0.26754939050021015,36487.5,35985.0,35685.0,30122.5,29620.0,29320.0,1,1,1,EXACT
Karabaglar,Gunaltay Mah.,4927.0,20818,20575,20335,20746,20209,0.23667018925929484,0.23749156463896653,0.24380226631698748,31227.0,31119.0,30313.5,26300.0,26192.0,25386.5,1,1,1,EXACT
Buca,Buca Koop Mah.,4345.0,19565,19481,19397,19572,19693,0.2220802453360593,0.22200081749437972,0.2206367744883969,29347.5,29358.0,29539.5,25002.5,25013.0,25194.5,1,1,1,EXACT
Karsiyaka,Semikler Mah.,17700.0,28951,28785,28620,28669,28586,0.6113778453248593,0.6173916076598417,0.6191842160498146,43426.5,43003.5,42879.0,25726.5,25303.5,25179.0,1,1,1,EXACT
Bornova,Doganlar Mah.,9160.0,22291,22476,22663,22543,22486,0.4109281772912835,0.4063345606174866,0.40736458240683093,33436.5,33814.5,33729.0,24276.5,24654.5,24569.0,1,1,1,EXACT
Buca,Camlikule Mah.,9515.0,21632,21539,21446,21855,22087,0.43985761834319526,0.4353694806680394,0.43079639607008646,32448.0,32782.5,33130.5,22933.0,23267.5,23615.5,1,1,1,EXACT
Buca,Inonu Mah.,5956.0,19626,19541,19457,19578,19714,0.3034749821665138,0.30421902135049544,0.3021203205843563,29439.0,29367.0,29571.0,23483.0,23411.0,23615.0,1,1,1,EXACT
Bornova,Evka 3 Mah.,7900.0,20649,20820,20993,20724,20406,0.3825851130805366,0.3812005404362092,0.3871410369499167,30973.5,31086.0,30609.0,23073.5,23186.0,22709.0,1,1,1,EXACT
Karsiyaka,Dedebasi Mah.,7650.0,20015,19900,19786,20149,20161,0.38221333999500373,0.37967144771452677,0.3794454640146818,30022.5,30223.5,30241.5,22372.5,22573.5,22591.5,1,1,1,EXACT
Bornova,Rafet Pasa Mah.,4000.0,17716,17863,18011,17655,17361,0.22578460149017837,0.22656471254602095,0.23040147456943724,26574.0,26482.5,26041.5,22574.0,22482.5,22041.5,1,1,1,EXACT
Buca,Yigitler Mah.,685.0,14034,13974,13913,13982,14040,0.04881003277754026,0.048991560577885854,0.04878917378917379,21051.0,20973.0,21060.0,20366.0,20288.0,20375.0,1,1,1,EXACT
Menemen,Istiklal Mah.,5757.0,15651,16090,16542,16108,16672,0.36783592102741036,0.35740004966476285,0.34530950095969287,23476.5,24162.0,25008.0,17719.5,18405.0,19251.0,1,1,1,EXACT
Buca,Hurriyet Mah.,3274.0,14623,14560,14497,14765,14870,0.22389386582780552,0.2217406027768371,0.22017484868863482,21934.5,22147.5,22305.0,18660.5,18873.5,19031.0,1,1,1,EXACT
Buca,Yildiz Mah.,22800.0,26517,26403,26289,26811,27776,0.8598257721461704,0.8503972250195815,0.820852534562212,39775.5,40216.5,41664.0,16975.5,17416.5,18864.0,1,1,1,EXACT
Torbali,Ayrancilar Mah.,10124.0,17428,17852,18287,17931,19241,0.5809042919439982,0.564608778093804,0.5261680785821943,26142.0,26896.5,28861.5,16018.0,16772.5,18737.5,1,1,1,EXACT
Konak,Guzelyali Mah.,5886.0,16508,16250,15997,16151,16105,0.3565543978677005,0.3644356386601449,0.365476560074511,24762.0,24226.5,24157.5,18876.0,18340.5,18271.5,1,1,1,EXACT
Bornova,Kizilay Mah.,5400.0,15749,15880,16012,15792,15613,0.34287891294685374,0.34194528875379937,0.3458656247998463,23623.5,23688.0,23419.5,18223.5,18288.0,18019.5,1,1,1,EXACT
Buca,Yaylacik Mah.,7926.0,17352,17277,17203,17203,17285,0.45677731673582295,0.46073359297796895,0.4585478738790859,26028.0,25804.5,25927.5,18102.0,17878.5,18001.5,1,1,1,EXACT
Aliaga,Bahcedere Mah.,558.0,11997,12236,12481,12136,12130,0.046511627906976744,0.045978905735003295,0.04600164880461665,17995.5,18204.0,18195.0,17437.5,17646.0,17637.0,1,1,1,EXACT
Bornova,Gazi Osman Pasa Mah.,2200.0,12642,12747,12853,12770,13147,0.1740230976111375,0.17227877838684416,0.1673385563246368,18963.0,19155.0,19720.5,16763.0,16955.0,17520.5,1,1,1,EXACT
Buca,Ufuk Mah.,6800.0,15852,15784,15716,15880,16038,0.42896795357052736,0.4282115869017632,0.4239930165856092,23778.0,23820.0,24057.0,16978.0,17020.0,17257.0,1,1,1,EXACT
Karabaglar,Refet Bele Mah.,1865.0,12088,11947,11808,11956,11961,0.15428524156187956,0.15598862495818,0.15592341777443358,18132.0,17934.0,17941.5,16267.0,16069.0,16076.5,1,1,1,EXACT
Karabaglar,Yunus Emre Mah.,15390.0,21457,21207,20960,21189,20957,0.7172484503891504,0.7263202605125301,0.7343608340888486,32185.5,31783.5,31435.5,16795.5,16393.5,16045.5,1,1,1,EXACT
Karabaglar,Gulyaka Mah.,1156.0,11153,11023,10894,11196,11199,0.10364924235631669,0.10325116112897463,0.10322350209840164,16729.5,16794.0,16798.5,15573.5,15638.0,15642.5,1,1,1,EXACT
